BanReason INCILCOCGMB
ClientType EOCEBECJBHG
ConnectionMode BDJGBMPCPBK
DeathType PNENNLOJJMG
DiscoverState EEJDFMLHCPB
EndGameReason JBJHCLOILBF
GameData_PlayerInfo GameData_OFKOJOKOOAK
GameMode GLOFNFLNLAM
GameStartManager_Status GameStartManager_ACONCACHDMF
InnerNetClient_GameState InnerNetClient_CJDCOJJNIGL
IntroCutscene_Status IntroCutscene_OIBLPHFGCPC
MapArea LGBKLKNAINN
MessageStatus ECELNFALKOB
NormalPlayerTask_State NormalPlayerTask_OHBIFBFAGPH
PlayerDeathReason KAPJFCMEBJE
PlayerId FMAAJCIEMEH
PlayerName LNFMCJAPLBH
PlayerVoteStatus FCKMHIKGFBO
RoomConnectionError JAJKFDICDFD
Rpc OGHLFADACAG
ServerManager_Status ServerManager_KGJEBPIDCIF
ShipStatus_MapType ShipStatus_LDCDLOPHBKL
Sprites IKHMOFOFDHI
TaskType CBFIAGIGOFA
_this  __4__ this
color _fade_5__3
playerControl CBEJMNMADDB
playerInfo JCLEEAHKPKG
subtitle_color _impColor_5__4
title_color _c_5__2
